Node1,Node2
someone,shared
shared,drone
drone,delivery
delivery,already
already,happening
happening,become
become,common
common,2025
someone,shared
shared,microorganism
microorganism,one
one,teaspoon
teaspoon,soil
soil,people
people,planet
someone,shared
shared,american
american,industrialist
industrialist,andrew
andrew,carnegie
carnegie,net
net,worth
worth,475
475,million
million,usd
usd,worth
worth,300
300,billion
billion,usd
usd,today
someone,shared
shared,metro
metro,st
st,petersburg
petersburg,average
average,depth
depth,hundred
hundred,meter
meter,deepest
deepest,metro
metro,world
someone,shared
shared,number
number,business
business,allowing
allowing,employee
employee,bring
bring,pet
pet,workplace
workplace,grown
grown,6
6,worldwide
someone,shared
shared,gross
gross,domestic
domestic,product
product,gdp
gdp,best
best,financial
financial,indicator
indicator,country
country,overall
overall,trade
trade,potential
someone,shared
shared,elvis
elvis,presley
presley,sold
sold,record
record,music
music,band
band,beatles
someone,shared
shared,best
best,selling
selling,single
single,time
time,white
white,christmas
christmas,bing
bing,crosby
someone,shared
shared,half
half,world
world,population
population,access
access,web
web,via
via,mobile
mobile,device
someone,shared
shared,would
would,take
take,50
50,petabyte
petabyte,drive
drive,store
store,every
every,written
written,work
work,ever
ever,created
someone,shared
shared,average
average,user
user,spends
spends,40
40,day
day,internet
someone,shared
shared,world
world,generates
generates,2
2,5
5,quintillion
quintillion,byte
byte,data
data,every
every,day
someone,shared
shared,longest
longest,recorded
recorded,cricket
cricket,match
match,lasted
lasted,14
14,day
someone,shared
shared,1920
1920,last
last,time
time,event
event,tug
tug,war
war,played
played,summer
summer,olympics
someone,shared
shared,american
american,basketball
basketball,legend
legend,wilt
wilt,chamberlain
chamberlain,never
never,fouled
fouled,game
someone,shared
shared,city
city,largest
largest,bus
bus,network
network,world
world,jakarta
jakarta,indonesia
someone,shared
shared,dog
dog,sense
sense,smell
smell,much
much,powerful
powerful,human
someone,shared
shared,common
common,garden
garden,snail
snail,12
12,000
000,teeth
someone,shared
shared,see
see,side
side,moon
someone,shared
shared,moon
moon,part
part,earth
someone,shared
shared,neptune
neptune,radiates
radiates,heat
heat,get
get,sun
someone,shared
shared,star
star,universe
universe,grain
grain,sand
sand,earth
someone,shared
shared,year
year,asteroid
asteroid,size
size,car
car,enters
enters,earth
earth,atmosphere
someone,shared
shared,season
season,reindeer
reindeer,eye
eye,change
change,color
someone,shared
shared,elephant
elephant,console
console,stressful
stressful,situation
someone,shared
shared,avocado
avocado,never
never,ripen
ripen,still
still,attached
attached,tree
someone,shared
shared,people
people,born
born,2
2,natural
natural,fear
fear,fear
fear,falling
falling,fear
fear,loud
loud,sound
someone,shared
shared,sneezing
sneezing,traveling
traveling,60
60,mph
mph,make
make,close
close,eye
eye,50
50,foot
someone,shared
shared,people
people,sneeze
sneeze,sleep
someone,shared
shared,birth
birth,baby
baby,panda
panda,smaller
smaller,mouse
someone,shared
shared,microwave
microwave,oven
oven,accidental
accidental,invention
someone,shared
shared,blue
blue,whale
whale,heartbeat
heartbeat,heard
heard,two
two,mile
mile,away
