Node1,Node2
someone,shared
shared,would
would,take
take,50
50,petabyte
petabyte,drive
drive,store
store,every
every,written
written,work
work,ever
ever,created
friend,shared
shared,friend
friend,one
one,fourth
fourth,sahara
sahara,desert
desert,sandy
friend,mentioned
mentioned,someone
someone,discovered
discovered,london
london,england
england,world
world,oldest
oldest,subway
subway,system
friend,mentioned
mentioned,someone
someone,discovered
discovered,bee
bee,fly
fly,higher
higher,mount
mount,everest
friend,reported
reported,someone
someone,discovered
discovered,shanghai
shanghai,china
china,world
world,longest
longest,subway
subway,system
friend,reported
reported,someone
someone,discovered
discovered,frigate
frigate,bird
bird,sleep
sleep,flying
friend,reported
reported,someone
someone,discovered
discovered,chicken
chicken,closest
closest,relative
relative,rex
friend,told
told,someone
someone,discovered
discovered,earth
earth,day
day,getting
getting,longer
longer,time
time,due
due,orbital
orbital,expansion
friend,told
told,someone
someone,discovered
discovered,scottish
scottish,first
first,people
people,fry
fry,chicken
friend,claimed
claimed,someone
someone,discovered
discovered,mar
mar,running
running,water
friend,mentioned
mentioned,someone
someone,revealed
revealed,jupiter
jupiter,moon
friend,mentioned
mentioned,someone
someone,revealed
revealed,people
people,currently
currently,alive
alive,7
7,total
total,number
number,people
people,ever
ever,lived
friend,mentioned
mentioned,someone
someone,revealed
revealed,japan
japan,considered
considered,good
good,luck
luck,sumo
sumo,wrestler
wrestler,make
make,baby
baby,cry
friend,mentioned
mentioned,someone
someone,revealed
revealed,first
first,commercial
commercial,airplane
airplane,flight
flight,lasted
lasted,23
23,minute
friend,reported
reported,someone
someone,revealed
revealed,sneezing
sneezing,traveling
traveling,60
60,mph
mph,make
make,close
close,eye
eye,50
50,foot
friend,reported
reported,someone
someone,revealed
revealed,melting
melting,glacier
glacier,make
make,fizzy
fizzy,noise
friend,told
told,someone
someone,revealed
revealed,earliest
earliest,playable
playable,recording
recording,person
person,singing
singing,recorded
recorded,1860
friend,told
told,someone
someone,revealed
revealed,world
world,generates
generates,2
2,5
5,quintillion
quintillion,byte
byte,data
data,every
every,day
friend,claimed
claimed,someone
someone,revealed
revealed,deck
deck,card
card,king
king,heart
heart,king
king,without
without,mustache
news,reported
reported,someone
someone,discovered
discovered,20
20,world
world,oxygen
oxygen,produced
produced,amazon
amazon,jungle
news,claimed
claimed,someone
someone,discovered
discovered,fingernail
fingernail,dominant
dominant,hand
hand,grow
grow,faster
news,mentioned
mentioned,someone
someone,revealed
revealed,espresso
espresso,maker
maker,sent
sent,space
news,reported
reported,someone
someone,revealed
revealed,mobile
mobile,phone
phone,use
use,india
india,nearly
nearly,100
news,reported
reported,someone
someone,revealed
revealed,blue
blue,whale
whale,heartbeat
heartbeat,heard
heard,two
two,mile
mile,away
news,reported
reported,someone
someone,revealed
revealed,banana
banana,get
get,curved
curved,shape
shape,growing
growing,towards
towards,sun
news,told
told,someone
someone,revealed
revealed,busiest
busiest,airport
airport,world
world,united
united,state
news,told
told,someone
someone,revealed
revealed,penguin
penguin,jump
jump,high
high,9
9,foot
foot,air
news,told
told,someone
someone,revealed
revealed,baby
baby,spider
spider,called
called,spiderlings
mentioned,expert
expert,discovered
discovered,90
90,world
world,data
data,generated
generated,2019
mentioned,expert
expert,discovered
discovered,longest
